event_type,machine_id,operator_code,session_id,tag_full,tag_internal_id,tag_label_number,timestamp
UNATTRIBUTED_SCAN,AIPL-98583-9043,,,OP-00457,OP-00457,,2026-07-25 10:01:30
LOGIN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,,,,2026-07-25 10:02:32
LOGIN_CONFLICT,AIPL-98583-9043,BF12345,BF11921_2026-07-25 10:02:32,,,,2026-07-25 10:02:44
LOGIN_CONFLICT,AIPL-98583-9043,BF12345,BF11921_2026-07-25 10:02:32,,,,2026-07-25 10:02:48
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,0007,0007,,2026-07-25 10:02:51
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,Aipl-26-27-0231.1,Aipl-26-27-0231.1,,2026-07-25 10:02:53
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,2731846718904207;3304,2731846718904207,3304,2026-07-25 10:03:15
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,2731846718904207;3303,2731846718904207,3303,2026-07-25 10:03:20
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,2731846718904207;3302,2731846718904207,3302,2026-07-25 10:03:23
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,2731846718904207;3301,2731846718904207,3301,2026-07-25 10:03:25
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,2731846718904207;3300,2731846718904207,3300,2026-07-25 10:03:28
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,1908504414713453;3299,1908504414713453,3299,2026-07-25 10:03:37
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,1908504414713453;3298,1908504414713453,3298,2026-07-25 10:03:40
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,1908504414713453;3297,1908504414713453,3297,2026-07-25 10:03:46
SCAN,AIPL-98583-9043,BF11921,BF11921_2026-07-25 10:02:32,1908504414713453;3296,1908504414713453,3296,2026-07-25 10:03:49
